Kepler_ID,2MASS ID,Teff,Log_G,Metallicity (solar=0.0),E(B-V),A_V,Radius (solar=1.0),Photometry_Qual,Astrophysics_Qual
2558370,,,,,,,,5,0
2558441,19083776+3750541,,,,,,,6,0
2558488,19084095+3751122,,,,,,,8,0
2558599,19085154+3752118,,,,,,,8,0
2568471,19200143+3753218,,,,,,,5,0
2568537,19200454+3751327,,,,,,,5,0
2568643,19201071+3752527,,,,,,,3,0
2569576,,,,,,,,5,0
2569583,19204520+3748234,,,,,,,5,0
2569969,19205425+3752277,,,,,,,5,0
2570131,19205845+3747593,,,,,,,3,0
2570462,19210807+3749084,,,,,,,5,0
2572179,19223418+3750006,,,,,,,8,0
2572386,19224589+3753030,,,,,,,6,0
2572613,19225873+3752385,,,,,,,6,0
2572698,19230341+3753109,,,,,,,4,0
2573017,19232125+3750280,,,,,,,6,0
2573110,19232696+3751137,,,,,,,5,0
2573354,19233987+3752032,,,,,,,6,0
2573548,19235064+3753231,,,,,,,6,0
2574366,19243469+3749422,,,,,,,3,0
2575161,19251767+3749252,,,,,,,8,0
2575250,19252235+3753296,,,,,,,6,0
2575390,19252921+3748239,,,,,,,8,0
2575637,19254164+3751294,,,,,,,6,0
2575862,19255320+3748154,,,,,,,6,0
2575964,19255744+3751503,,,,,,,2,0
2576524,19262624+3749234,,,,,,,6,0
2576623,19263129+3749409,,,,,,,6,0
2576681,19263388+3750359,,,,,,,6,0
2578251,19275165+3749541,,,,,,,6,0
2578582,19280779+3750491,,,,,,,6,0
2578606,19280874+3749468,,,,,,,6,0
2578661,19281142+3752162,,,,,,,5,0
2579136,19283716+3751582,,,,,,,6,0
2579590,19290105+3752506,,,,,,,5,0
2580101,19292684+3750362,,,,,,,6,0
2580198,19293168+3749492,,,,,,,6,0
2580373,19294039+3752431,,,,,,,5,0
2580979,19301228+3751209,,,,,,,8,0
2581074,19301828+3751469,,,,,,,6,0
2581258,19302768+3749436,,,,,,,6,0
2581316,19303059+3751364,,,,,,,8,0
2581583,19304727+3748042,,,,,,,6,0
2581630,19304989+3750392,,,,,,,4,0
2581811,19305877+3751362,,,,,,,6,0
2582367,19312594+3751299,,,,,,,6,0
2582784,19314740+3750046,,,,,,,6,0
2583153,19320812+3748572,,,,,,,8,0
2583472,19322442+3749392,,,,,,,6,0
2583486,19322551+3750110,,,,,,,6,0
2583761,19323938+3752272,,,,,,,2,0
2583765,19323963+3752296,,,,,,,3,0
2584202,19330319+3748578,,,,,,,8,0
2584749,19333255+3749112,,,,,,,6,0
2584879,19333932+3748465,,,,,,,8,0
2584985,19334565+3750313,,,,,,,5,0
2585210,19335728+3749429,,,,,,,6,0
2692915,,,,,,,,5,0
2694186,19045865+3755410,,,,,,,5,0
2694204,19045969+3754361,,,,,,,5,0
2694347,19050896+3754115,,,,,,,4,0
2694632,19052961+3755084,,,,,,,6,0
2695129,19060770+3755482,,,,,,,8,0
2695191,19061315+3759200,,,,,,,8,0
2695336,19062423+3755036,,,,,,,6,0
2695733,19065452+3757244,,,,,,,4,0
2696120,19072947+3758004,,,,,,,6,0
2696381,19074870+3754578,,,,,,,5,0
2696511,19075840+3758193,,,,,,,6,0
2696703,19081378+3759289,,,,,,,8,0
2696941,,,,,,,,3,0
2696947,19083306+3754573,,,,,,,6,0
2696955,19083373+3754367,,,,,,,3,0
2697299,19085887+3757168,,,,,,,5,0
2698074,19100252+3759390,,,,,,,6,0
2707091,19201072+3759517,,,,,,,5,0
2707097,19201091+3756217,,,,,,,5,0
2707504,19203401+3754014,,,,,,,2,0
2707926,19205756+3757524,,,,,,,5,0
2708270,19211542+3756528,,,,,,,6,0
2709412,19222341+3754358,,,,,,,5,0
2710180,19230892+3757140,,,,,,,5,0
2710234,19231193+3755103,,,,,,,6,0
2710357,19231859+3759125,,,,,,,5,0
2710594,19233331+3759005,,,,,,,8,0
2710631,19233616+3758388,,,,,,,6,0
2712561,19251917+3757427,,,,,,,6,0
2712835,19253356+3757560,,,,,,,5,0
2714398,19265499+3758515,,,,,,,4,0
2715041,19273198+3754382,,,,,,,5,0
2715164,19273914+3756112,,,,,,,3,0
2715523,19275842+3757409,,,,,,,6,0
2715699,19280822+3754208,,,,,,,4,0
2715763,19281170+3756020,,,,,,,6,0
2715836,19281594+3755558,,,,,,,5,0
2716140,19282884+3758446,,,,,,,5,0
2716732,19285817+3759261,,,,,,,6,0
2717082,19291565+3756021,,,,,,,8,0
2717580,19293956+3756526,,,,,,,6,0
2717656,19294414+3756098,,,,,,,6,0
2718250,19301640+3756024,,,,,,,5,0
2718252,19301643+3759596,,,,,,,5,0
2718874,19305128+3755315,,,,,,,3,0
2720016,19315040+3756338,,,,,,,8,0
2721790,19332374+3758356,,,,,,,6,0
2831828,19030079+3803248,,,,,,,4,0
2831923,19030829+3800003,,,,,,,6,0
2832295,19033802+3803024,,,,,,,5,0
2833058,19043722+3805368,,,,,,,6,0
2835270,19072520+3804519,,,,,,,6,0
2835457,19074072+3804506,,,,,,,6,0
2835795,19080653+3800264,,,,,,,6,0
2835877,19081264+3804596,,,,,,,5,0
2836367,19085103+3803449,,,,,,,5,0
2846552,,,,,,,,2,0
2847282,19210654+3804092,,,,,,,6,0
2847541,19212261+3802019,,,,,,,6,0
2847816,19213976+3801176,,,,,,,6,0
2848532,19222021+3802359,,,,,,,6,0
2849717,19232861+3801170,,,,,,,3,0
2849808,19233247+3802385,,,,,,,5,0
2849864,19233535+3801002,,,,,,,8,0
2854735,19274387+3805552,,,,,,,5,0
2854839,19274982+3804120,,,,,,,5,0
2854863,19275114+3803548,,,,,,,6,0
2855034,19280080+3804523,,,,,,,8,0
2855498,19282162+3805113,,,,,,,3,0
2856769,19292299+3805083,,,,,,,6,0
2858435,19304772+3805384,,,,,,,6,0
2861298,19331647+3800197,,,,,,,6,0
2861403,19332146+3802538,,,,,,,5,0
2865228,19363102+3801286,,,,,,,3,0
2865318,19363536+3803439,,,,,,,6,0
2969010,19020488+3808401,,,,,,,5,0
2969106,19021420+3811402,,,,,,,5,0
2969478,19024224+3808398,,,,,,,2,0
2969991,19032293+3810261,,,,,,,6,0
2970005,19032412+3810296,,,,,,,6,0
2970010,19032447+3809441,,,,,,,6,0
2970484,19040088+3811317,,,,,,,8,0
2970575,19040889+3809027,,,,,,,2,0
2970804,,,,,,,,2,0
2970994,19044207+3811019,,,,,,,6,0
2971095,19045074+3811229,,,,,,,4,0
2971111,19045154+3807447,,,,,,,8,0
2971415,19051495+3808366,,,,,,,6,0
2971453,19051842+3808558,,,,,,,6,0
2971472,19052040+3810274,,,,,,,5,0
2971520,19052365+3810521,,,,,,,8,0
2972706,19070156+3811512,,,,,,,6,0
2972978,19072298+3810421,,,,,,,6,0
2973073,19073094+3810170,,,,,,,8,0
2975471,19103430+3811095,,,,,,,6,0
2975540,19103931+3811333,,,,,,,4,0
2975832,19110198+3808565,,,,,,,8,0
2975844,19110352+3809309,,,,,,,6,0
2976181,19112753+3811183,,,,,,,6,0
2982797,19190859+3808339,,,,,,,6,0
2984295,19203427+3806327,,,,,,,8,0
2985398,19214524+3807012,,,,,,,2,0
2985770,19220674+3809103,,,,,,,8,0
2986117,19222722+3806391,,,,,,,6,0
2986721,19230232+3810080,,,,,,,8,0
2988169,19242608+3806589,,,,,,,5,0
2989094,19251544+3811545,,,,,,,6,0
2989319,19252673+3809069,,,,,,,6,0
2989746,19254933+3809135,,,,,,,6,0
2989840,19255432+3809542,,,,,,,7,0
2990485,19262803+3806187,,,,,,,6,0
2990723,19264157+3806100,,,,,,,6,0
2991043,19265716+3809302,,,,,,,6,0
2991276,,,,,,,,5,0
2991403,,,,,,,,5,0
2991548,19272452+3809195,,,,,,,7,0
2991622,19272833+3810475,,,,,,,6,0
2992815,19282949+3811188,,,,,,,6,0
2993960,19292905+3811305,,,,,,,6,0
2995313,19304018+3811307,,,,,,,5,0
2995944,19311130+3810260,,,,,,,6,0
2995992,19311422+3809255,,,,,,,8,0
2996015,19311572+3808326,,,,,,,7,0
2997802,19324820+3808364,,,,,,,5,0
2998070,19330140+3809575,,,,,,,8,0
3001835,19361447+3811317,,,,,,,3,0
3001906,19361779+3810506,,,,,,,6,0
3003769,19374578+3810004,,,,,,,8,0
3003992,19375761+3811388,,,,,,,8,0
3096317,19011558+3813176,,,,,,,6,0
3096408,19012316+3817547,,,,,,,5,0
3096453,19012740+3816528,,,,,,,8,0
3096770,19015365+3815511,,,,,,,5,0
3096995,19021207+3813108,,,,,,,8,0
3097211,19023259+3814033,,,,,,,8,0
3097346,19024418+3815461,,,,,,,8,0
3097526,19030188+3813072,,,,,,,6,0
3097562,19030495+3814094,,,,,,,6,0
3097623,19031112+3815226,,,,,,,6,0
3097641,19031319+3816193,,,,,,,6,0
3097896,19033580+3812136,,,,,,,1,0
3098032,19034857+3812003,,,,,,,6,0
3098219,19040311+3813156,,,,,,,6,0
3098759,19044906+3814171,,,,,,,6,0
3099007,19050914+3816572,,,,,,,8,0
3099613,19060276+3816301,,,,,,,6,0
3100066,19063959+3815201,,,,,,,5,0
3100151,19064642+3814385,,,,,,,5,0
3100415,19070793+3812045,,,,,,,5,0
3100570,19072250+3814179,,,,,,,6,0
3101178,19081124+3813538,,,,,,,6,0
3101889,19091468+3812561,,,,,,,6,0
3101906,19091614+3815516,,,,,,,6,0
3102003,19092399+3814306,,,,,,,6,0
3102181,19093880+3817091,,,,,,,8,0
3102230,19094208+3814048,,,,,,,8,0
3102309,19094927+3814224,,,,,,,6,0
3102351,19095250+3817599,,,,,,,6,0
3102469,19100248+3815049,,,,,,,8,0
3103698,19113727+3815528,,,,,,,1,0
3110891,19200384+3814386,,,,,,,8,0
3111124,19201910+3812209,,,,,,,8,0
3111419,19203579+3816219,,,,,,,6,0
3111451,19203754+3815083,,,,,,,5,0
3111455,19203812+3817385,,,,,,,5,0
3112056,19211631+3812434,,,,,,,8,0
3112291,19213238+3817538,,,,,,,6,0
3113630,19225520+3813470,,,,,,,8,0
3114023,19231980+3812124,,,,,,,6,0
3114424,19234517+3815428,,,,,,,8,0
3114667,19235932+3816578,,,,,,,5,0
3115272,19243336+3813271,,,,,,,6,0
3115398,19244101+3812055,,,,,,,8,0
3115892,19251117+3817584,,,,,,,3,0
3115969,19251636+3812377,,,,,,,6,0
3117338,19263166+3814204,,,,,,,6,0
3118829,19274997+3817008,,,,,,,6,0
3119229,19281104+3815598,,,,,,,5,0
3119309,19281497+3812325,,,,,,,6,0
3119655,19283312+3814560,,,,,,,2,0
3119825,19284217+3816471,,,,,,,8,0
3120357,19291243+3814123,,,,,,,2,0
3120796,19293613+3813339,,,,,,,6,0
3121407,19301154+3816176,,,,,,,8,0
3121435,19301269+3816548,,,,,,,8,0
3121983,19304436+3817058,,,,,,,6,0
3122184,19305544+3817581,,,,,,,6,0
3122268,19310022+3814034,,,,,,,8,0
3122883,19313471+3815550,,,,,,,4,0
3122932,19313764+3816278,,,,,,,6,0
3124420,19325892+3816188,,,,,,,5,0
3127923,19360523+3817558,,,,,,,6,0
3128411,19362893+3814465,,,,,,,4,0
3128706,19364517+3817421,,,,,,,8,0
3128853,19365255+3815371,,,,,,,6,0
3129943,19374734+3812004,,,,,,,8,0
3130296,19380578+3814318,,,,,,,8,0
3130350,19380896+3813115,,,,,,,6,0
3130760,19382924+3815394,,,,,,,5,0
3130791,19383071+3815160,,,,,,,5,0
3215800,19010364+3818241,,,,,,,6,0
3215832,19010746+3822346,,,,,,,8,0
3215844,19010913+3818442,,,,,,,3,0
3216051,19012937+3820269,,,,,,,6,0
3216221,19014470+3818129,,,,,,,6,0
3216479,19020995+3820530,,,,,,,6,0
3216626,19022596+3820345,,,,,,,8,0
3216635,19022716+3823483,,,,,,,8,0
3216742,19023928+3819151,,,,,,,8,0
3216935,19025559+3821081,,,,,,,6,0
3216956,19025707+3819264,,,,,,,6,0
3217229,19032164+3821313,,,,,,,5,0
3217253,19032384+3822084,,,,,,,6,0
3217494,19034605+3822390,,,,,,,6,0
3217556,19035124+3819058,,,,,,,8,0
3217764,19041016+3822101,,,,,,,6,0
3217921,19042493+3823285,,,,,,,5,0
3218180,19045144+3818338,,,,,,,8,0
3218209,19045389+3822450,,,,,,,6,0
3218445,19051581+3822326,,,,,,,8,0
3219046,19061079+3819367,,,,,,,5,0
3219237,19062625+3820593,,,,,,,3,0
3219442,19064423+3819188,,,,,,,6,0
3220088,19074251+3821323,,,,,,,6,0
3220105,19074406+3819217,,,,,,,8,0
3220501,19081700+3822438,,,,,,,6,0
3221040,19090738+3821502,,,,,,,7,0
3221213,19092216+3822037,,,,,,,6,0
3221230,19092360+3819245,,,,,,,6,0
3221310,19092981+3818524,,,,,,,6,0
3222151,19104320+3820559,,,,,,,5,0
3222183,19104533+3823189,,,,,,,8,0
3222364,19105954+3821198,,,,,,,8,0
3222683,19112674+3819486,,,,,,,2,0
3222761,19113174+3818284,,,,,,,5,0
3228328,19183299+3823232,,,,,,,6,0
3228725,19185709+3819574,,,,,,,4,0
3230578,19204887+3822297,,,,,,,6,0
3230948,19211270+3823022,,,,,,,6,0
3231337,,,,,,,,4,0
3231410,19214405+3818381,,,,,,,4,0
3231957,19222340+3822011,,,,,,,3,0
3232191,19224072+3818063,,,,,,,5,0
3232508,19230260+3822563,,,,,,,5,0
3232795,19232273+3818521,,,,,,,5,0
3233863,19243315+3818145,,,,,,,8,0
3234139,19245050+3819444,,,,,,,8,0
3234248,19245782+3821171,,,,,,,6,0
3234686,19252736+3819228,,,,,,,6,0
3236443,19271073+3820294,,,,,,,5,0
3238207,19285893+3819013,,,,,,,4,0
3238643,19292430+3819417,,,,,,,5,0
3239604,19301815+3820194,,,,,,,6,0
3239965,19303916+3823585,,,,,,,6,0
3240411,19310672+3819417,,,,,,,8,0
3241150,19315257+3822217,,,,,,,8,0
3241199,19315524+3822038,,,,,,,8,0
3241739,19322931+3823180,,,,,,,6,0
3241826,19323592+3819195,,,,,,,5,0
3245257,19354943+3822244,,,,,,,8,0
3245960,19362744+3819141,,,,,,,5,0
3246511,19370074+3823048,,,,,,,3,0
3247404,,,,,,,,5,0
3247478,19375501+3819452,,,,,,,6,0
3247581,19375999+3823015,,,,,,,6,0
3248077,19382618+3823486,,,,,,,5,0
3323561,19014690+3824348,,,,,,,5,0
3323665,19015764+3828560,,,,,,,6,0
3323825,19021198+3827476,,,,,,,6,0
3323903,19021910+3824540,,,,,,,5,0
3323964,19022439+3829087,,,,,,,5,0
3324221,19024943+3828400,,,,,,,5,0
3324300,19025812+3827347,,,,,,,8,0
3324568,19032594+3829117,,,,,,,6,0
3324593,19032896+3825175,,,,,,,6,0
3325203,19042497+3829418,,,,,,,6,0
3325807,19052035+3828264,,,,,,,5,0
3326001,19053743+3824457,,,,,,,6,0
3326863,19065826+3829389,,,,,,,6,0
3326917,19070317+3829162,,,,,,,6,0
3326990,19070968+3829053,,,,,,,6,0
3327050,19071506+3829118,,,,,,,6,0
3327668,19081151+3828397,,,,,,,8,0
3327688,19081308+3829567,,,,,,,5,0
3328080,19084939+3829531,,,,,,,5,0
3328109,19085308+3827096,,,,,,,5,0
